time,rssi,snr
1583317929.47577,-110,-8.2
1583319465.67675,-93,1.8
1583321008.5135,-97,7
1583322544.53147,-93,-13.2
1583324080.70476,-95,-12.2
1583325616.48204,-103,-9.2
1583327152.67541,-98,7.2
1583328687.30294,-97,-6
1583330225.12128,-98,5.5
1583331761.28237,-91,-1
1583333297.06464,-99,0.8
1583334840.26714,-104,-0.5
1583336376.05076,-105,-2
1583338079.13533,-103,0.5
1583339614.92166,-104,2.5
1583341150.95563,-104,1
1583342687.16446,-100,6
1583344223.21427,-97,5.8
1583345758.78789,-111,-14
1583347295.60585,-97,8
1583348831.38797,-96,-2.2
1583350368.05451,-101,6.8
1583351904.24702,-99,1
1583353440.03154,-97,7.8
1583354976.235,-97,2
1583356512.41662,-99,7.2
1583358055.24917,-96,8.8
1583359591.29869,-97,6.2
1583362826.73706,-95,5.5
1583364366.51514,-101,6.5
1583365902.41128,-96,5
1583367439.58381,-98,9.8
1583368976.71807,-98,8.2
1583370515.88891,-101,-9
1583372058.66163,-105,5.5
1583373594.54665,-95,4
1583375130.75188,-103,3.8
1583376668.80642,-97,4.5
1583378204.719,-97,9.2
1583379741.20722,-103,4.8
1583381278.31162,-97,6.2
1583382814.2286,-99,4
1583384352.5147,-89,-10
1583385888.61177,-93,7.2
1583387431.76471,-93,5
1583390002.4371,-97,-4
1583391538.46628,-95,5.5
1583393074.65852,-93,9
1583394777.35739,-92,3
1583396313.80293,-95,5
1583397849.58038,-94,7.5
1583399385.7651,-98,-2.5
1583400921.95327,-88,9
1583402459.21607,-97,4.8
1583404001.85646,-97,0.2
1583405537.90556,-95,-1.2
1583407074.05728,-97,5
1583408609.83709,-93,7.2
1583410146.00946,-98,5.5
1583411682.23904,-93,6.2
1583413216.78936,-84,-3
1583414754.59236,-95,6.8
1583416290.78299,-96,3
1583417833.59547,-97,6
1583449236.15423,-90,7.8
1583450879.08584,-105,7.8
1583452515.01497,-99,8.8
1583454157.93358,-91,7.8
1583455783.83262,-105,6.5
1583457319.85403,-93,6.8
1583458856.04739,-92,8.5
1583460558.80774,-91,9
1583462094.58671,-92,8
1583463797.52708,-97,8.8
1583465333.73003,-96,9
1583466869.51579,-105,8.8
1583468406.16773,-96,7.5
1583469942.38797,-91,6.8
1583471478.17239,-93,9
1583473014.36591,-91,8.2
1583474550.55321,-100,1.5
1583476260.64664,-99,5.5
1583477796.67115,-93,8.8
1583479332.86412,-74,-3
1583480898.69014,-101,1.5
1583482534.61447,-97,2
1583484240.51222,-116,-5.2
1583485635.7735,-98,4.5
1583487273.64157,-85,4.2
1583488909.5548,-93,7.8
1583490543.83901,-111,-1.5
1583492188.41517,-93,6.8
1583493824.33032,-93,4.8
1583495336.60562,-119,-4.8
1583496808.93099,-119,-4.8
1583498234.82767,-92,7
1583499872.6852,-103,2.5
1583501665.10366,-94,8.5
1583503299.85439,-95,-0.5
1583504937.40971,-82,2
1583797402.45718,-86,7.8
1583798938.66322,-89,8.2
1583800474.43988,-87,7.8
1583802011.10296,-86,10.5
1583803547.30012,-86,9.5
1583805083.08427,-89,7.2
1583806619.28768,-87,6.8
1583808155.45996,-86,6.8
1583809698.28837,-85,6.8
1583811234.37047,-87,8
1583812770.51724,-86,7.8
1583814306.69343,-86,9.5
1583815842.49993,-86,5.8
1583817545.30137,-89,9
1583819081.34326,-89,8
1583820627.01822,-87,7.8
1583822163.08514,-85,5.5
1583823698.62546,-83,-1.2
1583825235.07594,-86,5.8
1583826771.14111,-87,5.8
1583828307.31679,-83,6.2
1583829843.49679,-90,8
1583831379.77812,-85,6.2
1583832915.98904,-89,7.8
1583834451.80637,-75,9
1583836153.85759,-93,2.2
1583837689.67675,-93,3.2
1583839226.23005,-83,3.5
1583840763.25257,-90,6
1583842299.4473,-96,6.5
1583843835.25643,-93,5.5
1583845378.46739,-90,5.2
1583846914.28561,-90,5
1583848450.34981,-87,6.5
1583849985.90722,-87,3
1583882254.89717,-90,8.5
1583883790.81276,-72,-1.2
1583885326.56038,-91,9.8
1583886862.41953,-91,8
1583888398.23754,-92,8.2
1583889933.45524,-83,-1.5
1583891469.94188,-90,9
1583893015.60867,-88,6.2
1583894551.56455,-87,-3.8
1583896424.71677,-89,7
1583897960.3139,-87,-8
1583899496.37975,-91,6.5
1583901032.23403,-89,5.8
1583902568.0483,-93,9
1583904103.9,-97,8.8
1583905639.74853,-90,9.5
1583907175.56437,-85,8
1583908711.42461,-84,9.8
1583910247.29065,-81,6
1583911783.10566,-81,7
1583913318.96625,-83,8
1583914854.81822,-85,7.2
1583916390.63382,-85,8.5
1583917933.83651,-83,3.8
1583919707.68551,-87,7.2
1583921342.51422,-86,7.2
1583922814.96388,-87,-11.5
1583924453.13856,-90,5.5
1583926089.07496,-90,6.8
1583991003.15016,-97,6.2
1583992540.06149,-93,8.5
1583994076.07667,-88,8.8
1583995612.27387,-86,6
1583997148.45523,-87,7.8
1583998691.27012,-90,6.2
1584000227.30005,-90,6
1584001763.48926,-92,8.2
1584003299.2673,-89,6.8
1584004835.47091,-89,8.8
1584006371.70901,-93,6
1584007907.92123,-91,8.2
1584009444.10125,-92,8.8
1584010979.88582,-92,7.8
1584012523.12425,-89,6.2
1584014058.91449,-90,10.8
1584015594.95979,-89,6
1584017132.64404,-88,8.8
1584018678.68421,-91,7.2
1584020216.27259,-92,7.5
1584021752.05635,-101,2.2
1584023288.09352,-93,7
1584024824.25708,-91,7
1584026360.45407,-93,5.2
1584027896.70432,-92,8
1584029432.90761,-94,7.2
1584030968.68802,-97,5.8
1584032504.2494,-90,-3.8
1584034041.0616,-92,5.8
1584035583.98183,-98,1.8
1584037120.018,-89,4.2
1584038656.09081,-93,7
1584040192.37797,-89,6.8
1584041727.42725,-85,-2.8
1584043264.28696,-86,8
1584044800.51271,-90,9.8
1584066479.38797,-85,-2.8
1584068016.22913,-92,7
1584069551.80009,-95,-3.5
1584071095.25228,-89,5
1584072631.03551,-89,7.2
1584074167.08533,-88,8.8
1584075703.27813,-89,10.2
1584077239.47892,-89,8.5
1584078776.08845,-87,6.8
1584080312.25058,-86,7.2
1584081848.03089,-87,7.8
1584083384.2106,-88,7.5
1584084919.76867,-84,0.2
1584086463.21185,-86,6.5
1584087999.24379,-89,8
1584089535.4187,-86,8.5
1584091071.60244,-88,8.8
1584092607.3851,-86,5.5
1584094143.63999,-86,6.5
1584095679.80256,-84,8.2
1584097215.99569,-87,4.8
1584098918.29658,-88,6.2
1584100627.97532,-85,10.2
1584102165.96167,-87,7.5
1584103868.25782,-88,8.5
1584105404.29162,-91,2.8
1584106940.47963,-84,6.8
1584108476.65666,-91,7.5
1584140441.20644,-91,7.5
1584141977.38205,-87,6
1584143513.59035,-87,6.5
1584145048.23756,-93,-5.2
1584146585.67639,-86,7
1584148121.84461,-87,5.8
1584149657.87912,-110,-8.8
1584151194.20017,-89,8.5
1584152737.02873,-88,8.8
1584154282.70252,-91,8.2
1584155818.76156,-88,8
1584157354.96296,-86,6.2
1584158892.24787,-91,7.2
1584160429.99805,-81,-11
1584161965.98483,-87,4.2
1584163502.15289,-89,6.5
1584165038.48856,-91,7.5
1584166574.30021,-90,7
1584168108.94374,-90,-0.5
1584169646.77602,-93,8
1584171182.9502,-87,9.5
1584172719.14857,-91,9
1584174261.96503,-92,8
1584175797.39918,-82,-3.5
1584177333.83512,-90,9
1584178870.04107,-88,7.2
1584180406.22166,-90,9.8
1584181942.49606,-90,8.2
1584183478.67736,-90,11
1584185014.49253,-93,7.2
1584186550.68903,-92,8
1584188086.84144,-90,9.8
1584189628.01888,-92,-3.2
1584191165.70772,-92,7.8
1584192701.87965,-91,7.8
1584194238.06014,-95,8.8
1584226817.46354,-84,-4.2
1584228460.63644,-89,8.8
1584230096.56986,-87,8
1584231732.50511,-81,5
1584233375.46149,-91,9.5
