time,rssi,snr
1584618841.91642,-116,-16
1588588936.56691,-104,-13.5
1588783328.64298,-115,-12.5
1588838569.41532,-114,-9.5
1587580115.87848,-117,-18.2
1586146599.76122,-112,-14
1588617416.45216,-102,-14.8
1583405501.28973,-116,-17
1584824735.13153,-116,-16.8
1588795543.72304,-112,-17
1588818749.71194,-113,-11.2
1588729229.55772,-102,-12
1588781187.13544,-110,-11
1588674180.82792,-117,-11.8
1587302339.75353,-116,-16.5
1584791596.35165,-120,-17.2
1586192475.10646,-108,-16.8
1588663554.74626,-119,-10.8
1588769229.09731,-116,-11.2
1588642283.63279,-117,-13.8
1588793100.96194,-116,-11
1588761571.67801,-115,-11.8
1586265666.77881,-117,-18.2
1584810849.40164,-119,-16.5
1588631242.90626,-110,-15.5
1583601878.01554,-117,-17.5
1588065750.24847,-116,-17.2
1588073193.91593,-117,-18.2
1584449947.00112,-121,-17.5
1588735021.38019,-119,-17
1583765072.55055,-117,-17.2
1586147818.00044,-114,-15.5
1588718835.88271,-119,-17.8
1586828254.69945,-117,-18.5
1587264846.41694,-121,-17.2
1586683909.61146,-112,-15
1588847750.26781,-111,-14.8
1588766761.95342,-114,-18.2
1588781490.71395,-110,-12.2
1588805621.6686,-109,-11.8
1588796458.62672,-115,-14.2
1587420764.27344,-122,-16
1587044786.01298,-116,-17.8
1588647505.89444,-108,-16.2
1587029277.8097,-115,-16
1584664413.72512,-121,-16.8
1584504555.93575,-117,-16
1588698966.44771,-116,-9
1584855178.59175,-121,-13.2
1588081929.26167,-115,-16.5
1588648724.81568,-111,-16.8
1586238275.70929,-117,-15.2
1588079683.80302,-117,-16
1587160361.34662,-116,-18.2
1586657539.59034,-119,-15.5
1586127353.89998,-116,-17
1586149140.10081,-116,-16.2
1588731056.53298,-100,-10.5
1586106273.70774,-113,-17.5
1586976327.45066,-115,-18
1586543198.00362,-115,-15.8
1588728315.92372,-106,-15.8
1583339929.1932,-117,-17.2
1584623797.77135,-114,-17.5
1588750886.28157,-117,-12.5
1588781795.22692,-117,-12.5
1586629803.23798,-118,-16.2
1583348458.89852,-108,-18.2
1583411608.29488,-116,-18
1584772123.4753,-117,-14.5
1588743861.72797,-101,-10
1588783328.64298,-115,-12.5
1584623367.85165,-121,-16.2
1587231046.70932,-112,-16
1584443729.31735,-117,-16.8
1587291658.60491,-122,-15
1583419930.32239,-105,-15.2
1588646890.2226,-109,-14.2
1588801340.98825,-107,-10.5
1587259885.39074,-119,-17.2
1588772295.90247,-116,-15
1586746212.68381,-117,-17
1584166283.44617,-117,-15.8
1588795849.31822,-116,-14
1588765333.03363,-108,-9.5
1588749966.22389,-119,-12.8
1588728929.39726,-111,-11.5
1583418394.31238,-119,-14
1588846229.3652,-116,-12
1588744166.26112,-113,-14.2
1583411999.56822,-116,-14.8
1587529436.80338,-107,-19.8
1584735199.58357,-121,-16.2
1586734198.88135,-117,-17
1584828338.33398,-119,-15.2
1588812338.62947,-116,-8.8
1586990372.1162,-117,-16.5
1588574528.0897,-109,-11
1588056921.75885,-115,-16.8
1588638377.6147,-112,-12.2
1584651220.64951,-116,-16.2
1586131082.11106,-117,-15.5
1588625707.31628,-117,-14.5
1586462339.37632,-120,-17.2
1587528185.30653,-122,-16.8
1584160685.59649,-115,-14.5
1588626315.42215,-110,-11
1586772816.50095,-113,-18
1587244103.10812,-117,-14
1588662851.74432,-105,-15.5
1588732583.20645,-107,-14
1587237808.71158,-117,-16
1586740749.88533,-117,-16
1588048051.79488,-120,-16
1587233876.04249,-121,-15.8
1586906125.02174,-119,-16
1584135629.93013,-117,-16.5
1588758810.47674,-108,-13
1588624481.08444,-117,-13.8
1588768304.38175,-109,-19
1586732660.61878,-110,-14.8
1587227945.21079,-121,-17
1584469310.97816,-115,-17.5
1588835822.07126,-103,-13.5
1584752033.20818,-117,-17.8
1586101690.44208,-116,-17.5
1588832768.243,-116,-9.5
1588711512.71155,-113,-10
1584834547.46783,-117,-15.5
1586671360.6723,-117,-15.8
1588745393.81138,-90,-12
1588653940.7309,-108,-14.5
1588698040.87155,-117,-11.5
1584528054.81232,-113,-18.2
1588738384.16595,-115,-9.2
1588765333.03363,-108,-9.5
1586532212.90859,-121,-18
1588585882.01694,-117,-11.2
1586762343.61918,-119,-15.8
1588728619.50746,-108,-12.2
1584134838.15037,-119,-15.5
1587612427.21075,-119,-14.8
1586979738.40175,-121,-16.5
1588710904.62034,-117,-10
1586662563.50001,-121,-14.2
1584846000.3478,-117,-15
1588762189.62046,-121,-16.5
1588745697.39167,-117,-9
1588854399.11018,-116,-13.5
1583390092.90795,-116,-16.8
1588080922.23743,-121,-15.5
1588633697.22318,-113,-14.5
1588601900.55022,-107,-10.8
1588032262.26539,-119,-15.2
1586565361.12415,-117,-18
1588763415.62359,-111,-10.8
1588835212.50936,-104,-14
1586337281.60224,-121,-18.2
1586211277.13266,-121,-14.5
1584745763.07955,-119,-17.5
1588684973.05812,-109,-13.2
1586999087.586,-110,-17.2
1586122484.8731,-116,-15.8
1587998773.15309,-98,-17.2
1588679076.17474,-116,-14
1586746663.69031,-117,-16.5
1587334128.5389,-117,-16.8
1588686717.24436,-113,-12.2
1587032624.40493,-119,-15.2
1588749657.27538,-115,-13
1587614914.58434,-117,-16.2
1588016142.66292,-120,-16.5
1588655468.43146,-116,-13.8
1588772599.48195,-106,-16.2
1587255375.59204,-118,-17.2
1584684509.33972,-119,-15.5
1586226348.67726,-117,-16.2
1584489056.95818,-119,-17.2
1588855007.18062,-117,-9.2
1586738322.66822,-117,-16.8
1588785154.62322,-116,-10
1584679485.45988,-117,-17.2
1587397034.66667,-105,-15.8
1588613448.20656,-95,-11.2
1588854095.5304,-115,-8.2
1586604628.29889,-120,-16.8
1584666690.42237,-117,-17.5
1584625832.59749,-117,-15.2
1588791575.45023,-112,-10.5
1588738684.69261,-117,-11
1588592311.27218,-111,-15
1588732883.85118,-116,-11
1588758202.35166,-110,-12
1586123332.06861,-110,-18.8
1587252034.71508,-122,-16.8
1583393629.06294,-116,-12.2
1588794934.15607,-123,-16.5
1588592007.68816,-117,-12.2
1588801644.56937,-97,-14.2
1587009537.3875,-117,-18
1583348767.24295,-105,-15.5
1588751190.80401,-116,-12.5
1588048979.22933,-119,-16.2
1583382120.85911,-117,-16.5
1584836411.53069,-93,-15.2
1586694040.17601,-115,-19
1584830192.82632,-119,-14.8
1588767380.48993,-117,-9.2
1588755765.84646,-116,-11.2
1588699880.18068,-114,-16
1586488905.81283,-116,-16
1586160705.29948,-117,-14.2
1584603173.05659,-114,-16.2
1588733492.60424,-115,-11.2
1588828198.00459,-114,-12
1588710283.56575,-113,-16.2
1588782713.74486,-116,-11.8
1584832854.08659,-117,-16
1587068899.64166,-117,-15.2
1588821192.09103,-121,-13.8
1588596605.44269,-119,-11.2
1584492391.4517,-119,-16
1586105811.98837,-114,-16.5
1588841648.17902,-112,-16.2
1588727088.42967,-105,-16.8
1584552247.24838,-119,-16.8
1584729379.00634,-119,-15.8
1588072587.31977,-114,-16.8
1588703869.6394,-115,-10.5
1584147457.9403,-115,-17.8
1588655158.56266,-117,-13.2
1587024765.40638,-117,-17
1588735321.99679,-117,-10.2
1588695597.3207,-111,-11
1584814759.51558,-119,-15.8
1584140440.14922,-119,-16.5
1588792789.61497,-120,-16.8
1588728929.39726,-111,-11.5
1588735625.57953,-115,-14.8
1584518453.73023,-117,-16.8
1588706313.92942,-116,-11.5
1587610350.51586,-112,-16.8
1586586562.62209,-114,-16.2
1586585940.00906,-121,-15.8
1586109537.5411,-119,-15.5
1588670213.70962,-108,-13.8
1584497009.39793,-121,-17.2
1588796762.20591,-108,-13.5
1587597548.70507,-119,-15.2
1588790655.6495,-117,-8.2
1586649470.35456,-115,-16
1588758506.89306,-115,-14.5
1586641616.01703,-119,-15.8
1586232629.21847,-116,-18.2
1588780278.38134,-117,-12.8
1588088051.41453,-117,-14.8
1588706617.51149,-109,-11.8
1586694434.83271,-106,-17.5
1583325510.5012,-113,-18
1586931290.86135,-119,-18.2
1587999088.5288,-119,-16.8
1588752410.44634,-107,-13.5
1586118369.88673,-119,-15.8
1588075982.64079,-119,-15.2
1588579805.18552,-117,-10.2
1588796153.9799,-111,-8.2
1584861847.82936,-115,-17.8
1588636151.3211,-102,-13.8
1588630631.34864,-117,-11.5
1584746378.72984,-121,-16.8
1588720370.81774,-117,-8.5
1587451235.96025,-109,-17
1588607718.76705,-119,-9
1588585577.45714,-117,-13.2
1583344108.96811,-119,-12.8
1588799517.9188,-115,-12.8
1588618024.57334,-117,-9.5
1588691920.66763,-105,-12
1588785464.53278,-120,-17.8
1583636963.58727,-117,-18.5
1588799208.03774,-113,-12.2
1588786399.95028,-110,-14
1586998691.16025,-115,-17.5
1588680902.13317,-120,-17.5
1586879744.24384,-117,-13
1588800432.25954,-115,-11
1588666840.38228,-113,-13.5
1588799818.63682,-104,-15.5
1586719708.44253,-117,-15.8
1586673398.67847,-117,-15.5
1588840413.06339,-109,-18
1584821441.21259,-116,-17.8
1587390211.73195,-121,-16.2
1588045344.74459,-119,-14
1588784546.50801,-101,-10
1584848791.44541,-119,-14.8
1583342420.96241,-109,-13.8
1584869304.18549,-83,-15.5
1587499956.19337,-116,-17.8
1588809588.23494,-110,-8.5
1588644432.09714,-114,-11.8
1584430371.35187,-117,-15
1584139239.49386,-92,-16
1588581637.71496,-108,-12.8
1588732883.85118,-116,-11
1588631547.58857,-117,-12.8
1588748439.30759,-108,-16
1584377595.14937,-115,-14.5
1586397492.23445,-119,-16
1588734711.76302,-107,-10.2
1587446268.33257,-121,-18.2
1586919086.27485,-116,-17.5
1588754548.17686,-116,-11
1588719458.05714,-106,-14
1588599679.75243,-115,-11.5
1588845920.41711,-110,-10.8
1584690948.60055,-117,-16.5
1588790047.55882,-117,-8.8
1584838887.72869,-117,-16.5
1588696508.50699,-121,-13.8
1588059858.18249,-119,-17.2
1588727392.00856,-122,-14.8
1588784851.03727,-116,-10.5
1588826366.85139,-100,-12.8
1588801036.47025,-103,-12.5
1588603050.25396,-117,-11.8
1586648461.98644,-117,-16.2
1588662018.19654,-111,-12.8
1586196213.32252,-119,-17
1586753270.56083,-117,-16.2
1588721283.98748,-97,-11.5
1586977394.72463,-117,-16.5
1588052080.96533,-119,-16.2
1588658544.19362,-107,-12.5
1588856848.10674,-110,-12.5
1588813252.48964,-117,-10.2
1588756373.94461,-119,-9
1586993792.19883,-116,-17.5
1588608551.42254,-113,-16
1588758810.47674,-108,-13
1584828950.35022,-117,-16.5
1584837644.64587,-116,-13.2
1584724022.05908,-119,-15.8
1586215039.64985,-116,-17.2
1588799208.03774,-113,-12.2
1586473981.81562,-117,-17.2
1587985378.40137,-117,-16.8
1588771685.60383,-117,-11.2
1588025440.50059,-119,-17.2
1588717619.55046,-114,-15.5
1588734411.14271,-101,-14.8
1587401966.84287,-122,-17.8
1586125489.79185,-117,-15.5
1584892483.90178,-117,-15.8
1588672350.8339,-116,-13.5
1586588457.2647,-116,-17
1588733796.18709,-111,-14.5
1584529526.14454,-117,-16.5
1588773220.07786,-114,-15.8
1586275348.79998,-114,-18.2
1583792703.04903,-111,-16.8
1584625437.93503,-117,-17.2
1588665920.94758,-117,-9.8
1588013347.58517,-104,-17.5
1588576049.26493,-115,-15.8
1584151640.69469,-119,-15
1587297315.84116,-105,-15.8
1583592107.92864,-116,-18.2
1588649028.39482,-121,-15.2
1588793762.00797,-111,-16
1588855615.24447,-115,-8.2
1586706829.79401,-121,-17.8
1588590170.11905,-120,-16.2
1588694364.37966,-112,-12.5
1586284265.80897,-112,-14.8
1586535799.37339,-104,-16.8
1586480594.83255,-117,-14
1587599407.43778,-119,-18.8
1586912873.49712,-116,-18
1588794629.64974,-114,-14.2
1586170448.55341,-111,-17.5
1588795849.31822,-116,-14
1588591096.23967,-111,-15
1588834608.29223,-113,-15.5
1587390833.75385,-115,-13.8
1586885242.08994,-113,-17.2
1583368089.37577,-111,-17.2
1586549635.26991,-120,-14
1586672611.31572,-119,-15
1586595354.38867,-117,-17.5
1586284886.84736,-119,-16.2
1588828802.23716,-117,-11.2
1588772904.00022,-110,-11.5
1588594751.8474,-110,-11.5
1584879021.62449,-115,-16.2
1584559698.17165,-118,-18
1586722406.99927,-102,-14.2
1584857180.0112,-117,-14.8
1587212101.71468,-115,-18.2
1588037218.80038,-113,-16.2
1588756678.45691,-114,-12
1588661626.7691,-113,-15
1588748742.8868,-117,-9.8
1584455083.71945,-119,-16.5
1587000407.61674,-104,-16.2
1584636851.67065,-119,-16.2
1586369878.81007,-114,-18
1587207928.0341,-121,-18.2
1586488444.77832,-117,-18
1587337951.12792,-88,-16.8
1588812035.0499,-116,-8.8
1588843780.01886,-119,-12.8
1584760819.68803,-121,-18.2
1586232159.88806,-117,-15.5
1583386977.57128,-111,-15.8
1587328151.15156,-119,-17
1586286114.39663,-117,-16.2
1586667592.76572,-113,-17
1588734411.14271,-101,-14.8
1584599405.12244,-117,-16.2
1588603965.82616,-115,-14.2
1588747525.24019,-117,-13
1588619869.61197,-119,-9.2
1587254748.20338,-117,-16.8
1588764630.18402,-117,-8.8
1584854381.47164,-114,-15.2
1588044114.17092,-96,-15.8
1587025065.31198,-119,-16.8
1584742650.4226,-117,-17.5
1584817678.93879,-94,-16.8
1588722821.38802,-111,-12.2
1588696207.86282,-112,-8.8
1588736541.19068,-117,-9.2
1588716098.89384,-117,-12.5
1588651181.0542,-115,-14.8
1583334179.54387,-119,-18
1588801644.56937,-97,-14.2
1587448572.71879,-120,-19.2
1586829340.573,-117,-17.8
1586145670.49837,-109,-17.5
1587400864.96374,-117,-14.5
1588857463.46188,-97,-16
1587061898.79379,-94,-16.8
1584535730.41876,-113,-16.8
1584525171.54668,-117,-17.8
1588738684.69261,-117,-11
1584448699.56662,-119,-17.5
1588683964.77517,-117,-14.8
1588669598.60632,-117,-11
1584127684.53662,-115,-14.8
1587397661.99176,-109,-16.2
1587600953.74073,-108,-15.8
1587341679.26623,-119,-15.8
1588608246.8776,-114,-14.8
1588716706.96895,-117,-11.2
1587395482.48121,-117,-14.8
1588846535.38206,-115,-11.8
1587976892.2391,-114,-16.5
1588726179.7361,-111,-12.8
1584496386.75815,-115,-17.5
1588754858.0622,-115,-11.2
1586988735.40397,-119,-15.2
1588728619.50746,-108,-12.2
1583311902.63126,-116,-12.8
1586756586.15983,-117,-17
1584671949.60209,-117,-16.8
1588626923.53661,-116,-13.2
1584900088.88377,-116,-17
1587403830.92966,-120,-13.5
1587450397.09672,-113,-17.2
1583354569.76633,-116,-16.5
1583417150.49304,-119,-12.5
1584378837.26565,-112,-13.8
1584428377.38079,-121,-15.8
1586766832.3388,-121,-15.2
1586932928.28604,-116,-17.2
1588799517.9188,-115,-12.8
1586144918.86558,-117,-16.2
1584901634.8395,-117,-15.8
1588694059.87095,-114,-9.5
1588810518.20585,-104,-11.2
1586247622.81793,-116,-18.8
1588749052.78811,-114,-10.8
1588707226.70562,-115,-13.8
1586148742.84871,-117,-17
1588670605.06207,-116,-12.2
1587388047.80345,-112,-17
1584674626.29191,-119,-18.5
1584827710.34129,-117,-14.8
1588717315.03894,-121,-9.2
1584436751.12358,-116,-18.2
1588802566.99359,-113,-12.5
1588724956.69122,-111,-13.2
1588757289.19768,-113,-14.2
1588720674.39894,-115,-11
1586163093.3681,-116,-16.2
1588615274.05467,-111,-12.2
1584550548.53792,-117,-17
1587349248.40428,-121,-15.5
1588739292.93809,-117,-9.5
1588671742.73792,-116,-11.2
1584850655.50797,-117,-16.5
1586759857.56864,-92,-17
1584440085.60457,-119,-14.8
1588792789.61497,-120,-16.8
1584704488.34047,-119,-15.8
1588696813.56574,-116,-10
1587593192.37877,-120,-14.2
1586715897.3389,-116,-17.2
1588779043.17166,-117,-13.2
1588776601.67954,-108,-12.2
1588704178.58452,-114,-17
1588087441.09565,-110,-16.5
1584428809.48569,-119,-18
1584777786.02529,-117,-17.2
1588775063.64162,-117,-9.2
1588848989.28986,-109,-11.8
1588719762.7191,-117,-10.8
1584768983.47354,-111,-14.2
1588782404.79284,-117,-10.2
1588790655.6495,-117,-8.2
1584844161.75567,-119,-13.2
1588050216.89145,-102,-16.2
1588629381.60517,-109,-11.5
1588832160.14328,-121,-15.2
1587394945.66737,-117,-16.2
1588754858.0622,-115,-11.2
1586399381.5266,-119,-18.5
1588645653.33117,-116,-12.8
1588634932.54751,-121,-15.8
1587235754.63644,-120,-14
1588826974.96763,-106,-13.2
1587224842.67048,-120,-16
1583327664.3065,-116,-14.8
1587417618.96065,-122,-17
1588635543.24229,-113,-12.2
1584622570.06548,-119,-16.8
1588829724.73144,-116,-10.2
1586652908.45098,-115,-16.5
1588774448.66192,-117,-9.5
1588607326.7361,-117,-8.8
1586326841.09334,-115,-17
1584876134.10783,-117,-14
1584467791.94899,-117,-15.8
1587332059.51848,-120,-13.2
1583381107.4802,-115,-16.5
1588051464.31794,-113,-16
1588047745.80414,-117,-15
1588737151.27502,-117,-14.8
1584863261.58554,-112,-16.8
1586656906.23033,-119,-14.2
1584893556.20645,-123,-14.5
1588732274.2555,-102,-14.5
1588838265.83238,-116,-11.8
1588650876.36865,-117,-11
1586157468.54885,-115,-14
1586776146.64848,-117,-19
1588605500.90576,-116,-10
1588032888.66062,-117,-14.8
1588780278.38134,-117,-12.8
1588815998.23085,-115,-14
1588844997.9561,-104,-8.8
1586927164.5841,-117,-16.2
1584812091.45086,-121,-14.5
1588793100.96194,-116,-11
1584164408.52391,-119,-17.2
1584427591.43501,-119,-15.2
1584853272.39809,-117,-15.8
1586671977.93915,-117,-17.2
1588720984.29538,-108,-14
1586107342.06039,-117,-17
1588739905.36388,-109,-13
1584748265.26239,-119,-15.2
1588686408.29349,-113,-11.8
1588819965.98014,-113,-9.5
1586219600.95135,-117,-16.8
1586110919.21822,-121,-16
1587371493.99564,-117,-17.5
1588816302.73453,-115,-15
1584533876.3595,-119,-16.8
1584853452.35336,-117,-18
1586162081.25659,-115,-16.5
1583319789.61383,-116,-14
1588845302.46122,-115,-9
1588825150.63212,-112,-13.2
1586185034.10291,-115,-16.5
1588636454.89982,-109,-13.5
1588035985.90651,-122,-15.5
1586205620.60803,-116,-17
1588755462.26598,-100,-13
1588797370.30974,-115,-13
1588628458.45412,-113,-14.8
1588632157.16652,-117,-11.5
1584396278.82453,-113,-15.5
1584427122.81496,-121,-16.5
1584725956.55264,-113,-17.8
1584486577.49145,-117,-15.5
1588760346.44658,-116,-11.2
1588742644.09177,-115,-15.5
1588776902.32345,-116,-14
1583423942.47345,-114,-15.2
1588031336.52419,-119,-15.5
1586201846.60866,-116,-17.5
1584392512.43875,-102,-14.5
1588764020.43935,-110,-10.5
1587229798.58933,-117,-16
1587258647.068,-121,-16.5
1588767990.05721,-97,-14
1586638365.87261,-117,-16.5
1587972690.59367,-117,-15.2
1587004140.78249,-117,-18.2
1587273447.05878,-122,-17.5
1584734743.89013,-120,-13.2
1586889010.01743,-117,-15.8
1583376468.8534,-113,-15.8
1584849413.48259,-116,-15.8
1588667750.48665,-110,-17
1588602439.91371,-122,-16.5
1588740210.0461,-110,-13
1583414374.24808,-114,-15
1586245811.50358,-116,-16.2
1588649952.49143,-115,-15.2
1586878323.54012,-108,-17.5
1587608133.75208,-117,-17.2
1588830946.3309,-122,-16
1588705097.71326,-117,-12
1588572997.59718,-117,-9.5
1584445142.08001,-117,-17
1584749685.99661,-119,-16.2
1588056129.98109,-114,-15.5
1584870541.8561,-114,-15.5
1588777814.03633,-118,-17.5
1588646265.79775,-119,-14.8
1584543186.86288,-117,-17.5
1588621718.36304,-111,-12.2
1588705705.8195,-111,-12.5
